94080,4.3085,5.899e+05,78378,45
94085,4.633,5.175e+05,92489,28
94086,4.3562,6.88e+05,1.0022e+05,90
94087,4.4103,9.487e+05,1.2235e+05,296
94089,5.736,1.695e+05,88797,10
94102,14.672,5.793e+05,24127,6
94103,16.275,6.367e+05,41612,52
94104,1.15,1e+06,80341,1
94109,2.9081,7.485e+05,63173,93
94111,8.84,9.089e+05,1.0347e+05,2
94112,2.2405,6.127e+05,71505,181
94114,2.8642,1e+06,1.2297e+05,234
94115,4.871,9.79e+05,85330,60
94116,2.9032,7.632e+05,84828,94
94117,3.0098,9.384e+05,1.0333e+05,127
94118,4.5026,1e+06,82993,87
94121,3.008,8.642e+05,70220,62
94122,2.8025,7.974e+05,86070,127
94123,3.8727,1e+06,1.212e+05,47
94126,4.83,0,0,1
94127,3.4847,9.388e+05,1.3111e+05,111
94129,16.275,1e+06,1.4489e+05,2
94131,2.8233,8.731e+05,1.0011e+05,176
94132,2.716,7.471e+05,66607,41
94133,4.8654,9.539e+05,53150,17
94304,17.325,1e+06,1.0193e+05,1
94305,6.3899,1e+06,51976,41
94401,3.8169,5.731e+05,72279,29
94402,5.7258,1e+06,1.1581e+05,76
94403,6.1227,7.903e+05,95189,88
94404,6.3621,8.104e+05,1.1478e+05,62
94503,5.8142,3.156e+05,81918,40
94505,5.981,3.857e+05,1.1183e+05,110
94506,6.6791,9.59e+05,1.7624e+05,163
94507,8.0236,1e+06,1.6322e+05,195
94508,7.3562,5.462e+05,72411,22
94511,5.7896,1.879e+05,36845,5
94512,4.515,0,64583,1
94513,6.9788,3.691e+05,89607,349
94514,8.1199,3.309e+05,51992,28
94515,10.173,4.633e+05,62182,49
94517,5.5309,5.841e+05,1.2137e+05,118
94518,11.075,4.363e+05,73040,95
94519,4.9896,3.398e+05,67607,48
94521,5.1429,4.021e+05,84819,130
94522,2.04,0,0,1
94523,5.3872,5.158e+05,81685,149
94526,5.8913,8.363e+05,1.288e+05,286
94528,10.684,1e+06,1.6233e+05,8
94531,5.0209,2.82e+05,88693,106
94533,5.1564,2.134e+05,56973,82
94534,5.6076,3.446e+05,91882,119
94536,4.6393,5.644e+05,92107,151
94539,5.2575,9.126e+05,1.4415e+05,214
94540,2.2373,0,0,3
94541,4.0201,3.321e+05,57895,28
94542,5.0096,5.354e+05,80327,63
94543,5.98,0,0,1
94544,6.6803,3.235e+05,59699,35
94545,8.3432,3.579e+05,71723,17
94546,4.4711,4.767e+05,75500,123
94547,4.9235,3.731e+05,1.002e+05,23
94548,7.8644,7.432e+05,85000,5
94549,6.339,9.766e+05,1.3734e+05,279
94552,5.7142,6.721e+05,1.3283e+05,101
94553,5.7261,3.758e+05,76669,181
94555,4.3174,5.87e+05,1.146e+05,26
94556,6.0188,9.054e+05,1.3309e+05,100
94560,4.6178,4.555e+05,86521,45
94562,94.112,0,0,5
94563,6.0736,9.875e+05,1.6615e+05,185
94567,7.7625,2.065e+05,58643,2
94571,4.0049,2.167e+05,61563,20
94572,5.8334,3.088e+05,68701,11
94573,13.512,0,61310,10
94574,9.8874,8.935e+05,81788,92
94576,17.63,0,40341,1
94577,5.9551,3.813e+05,64660,56
94578,8.9399,3.405e+05,49095,20
94579,3.8913,3.732e+05,75481,15
94580,11.507,3.525e+05,71177,15
94582,4.955,8.069e+05,1.3837e+05,140
94583,5.0791,6.59e+05,1.2195e+05,180
94586,7.9106,7.948e+05,85000,8
94587,5.1234,4.843e+05,82564,56
94590,4.2242,1.788e+05,40826,29
94592,2.88,3.304e+05,1.0766e+05,1
94595,5.3,3.913e+05,58659,55
94596,6.4436,7.223e+05,78856,108
94597,5.2168,5.695e+05,88012,56
94598,5.7127,7.464e+05,1.2134e+05,234
94602,4.8553,5.475e+05,68813,85
94610,4.2584,6.903e+05,73850,79
94611,4.3855,8.121e+05,1.0758e+05,208
94612,14.227,3.626e+05,30879,3
94618,3.6345,8.862e+05,1.2358e+05,135
94701,3.4928,0,0,10
94702,3.5902,5.519e+05,59628,58
94703,4.4957,6.175e+05,58613,67
94704,5.29,7.236e+05,30997,21
94705,4.2957,9.512e+05,96537,115
94706,3.8954,6.33e+05,81746,65
94707,3.435,8.741e+05,1.3633e+05,132
94708,3.9299,8.678e+05,1.4561e+05,108
94709,3.198,7.026e+05,59150,36
94710,10.94,5.607e+05,60952,28
94803,4.5623,3.407e+05,76232,59
94807,4.32,0,0,1
94901,6.1336,7.771e+05,76909,155
94903,4.6005,6.271e+05,86196,112
94904,6.4361,1e+06,1.0224e+05,76
94914,4.05,0,0,1
94920,5.9947,1e+06,1.3249e+05,119
94922,4.6775,0,28556,4
94923,6.3954,6.584e+05,77305,12
94924,7.571,8.774e+05,73621,23
94925,7.5717,9.128e+05,1.1328e+05,51
94926,3.8392,0,0,5
94928,6.0422,3.081e+05,57484,97
94929,4.541,4.714e+05,44417,3
94930,5.9989,7.055e+05,93049,44
94931,9.6228,4.015e+05,64625,35
94933,3.0063,5.491e+05,71667,4
94937,5.0271,9.167e+05,51921,14
94938,3.768,6.629e+05,96281,5
94939,5.3412,1e+06,93750,40
94940,5.23,1e+06,28958,2
94941,4.6433,1e+06,1.2121e+05,203
